NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG
ANDREW FUNK,2023,24.6,5,Chi,G,2.7,0.0,0.0,0.0,0.2,0.2,0.0,1.2000000000000002
ANDREW NEMBHARD,2022,23.2,75,Ind,G-F,27.6,9.5,2.7,4.5,0.9,0.2,1.7,19.590000000000003
ANDREW NEMBHARD,2023,24.2,68,Ind,G-F,25.0,9.2,2.1,4.1,0.9,0.1,1.5,19.369999999999997
ANDREW NEMBHARD,2024,25.2,65,Ind,G-F,28.9,10.0,3.3,5.0,1.2,0.2,1.7,23.960000000000004
ANDREW WIGGINS,2020,26.23,71,Gol,F,33.3,18.6,4.9,2.4,0.93,0.9900000000000001,1.76,32.08
ANDREW WIGGINS,2021,27.13,73,Gol,F,31.9,17.2,4.4,2.2,1.05,0.7,1.52,29.51
ANDREW WIGGINS,2022,28.1,37,Gol,F,32.2,17.1,5.0,2.3,1.2,0.8,1.3,30.349999999999994
ANDREW WIGGINS,2023,29.099999999999998,71,Gol,F,27.0,13.2,4.5,1.7,0.6,0.6,1.2,23.55
ANDREW WIGGINS,2024,30.1,60,Gol,F,30.666666666666668,17.99666666666667,4.486666666666666,2.5833333333333335,0.985,0.8566666666666667,1.6400000000000001,31.140666666666668
ANFERNEE SIMONS,2020,21.94,64,Por,G,17.3,7.8,2.2,1.4,0.28,0.13,0.67,13.1
ANFERNEE SIMONS,2021,22.839999999999996,57,Por,G,29.5,17.3,2.6,3.9,0.53,0.11000000000000001,2.02,26.17
ANFERNEE SIMONS,2022,23.8,62,Por,G,35.0,21.1,2.6,4.1,0.7,0.2,2.1,32.47
ANFERNEE SIMONS,2023,24.9,46,Por,G,34.4,22.6,3.6,5.5,0.5,0.1,2.7,34.269999999999996
ANFERNEE SIMONS,2024,25.9,70,Por,G,32.7,19.3,2.7,4.8,0.9,0.1,2.0,30.739999999999995
ANTHONY BLACK,2023,20.2,69,Orl,G,16.9,4.6,2.0,1.3,0.5,0.3,0.8,10.549999999999999
ANTHONY BLACK,2024,21.2,78,Orl,G,24.2,9.4,3.0,3.1,1.1,0.6,1.8,20.95
ANTHONY DAVIS,2020,28.18,36,Lal,F-C,32.3,21.8,7.900000000000001,3.1,1.25,1.64,2.06,42.54
ANTHONY DAVIS,2021,29.089999999999996,40,Lal,F-C,35.1,23.2,9.9,3.1,1.23,2.25,2.05,48.12
ANTHONY DAVIS,2022,30.1,56,Lal,F-C,34.0,25.9,12.6,2.6,1.1,2.0,2.2,51.71999999999999
ANTHONY DAVIS,2023,31.099999999999998,76,Lal,C,35.5,24.7,12.6,3.5,1.2,2.3,2.1,53.47
