NAME,POS,FP_total_pred,MC_mean,MC_std,MC_p10,MC_p50,MC_p90
EVAN MOBLEY,C,2650.5809053248727,2653.4635710153543,208.94181724956698,2386.191910763791,2650.1467814087937,2920.682318156226
JALEN WILLIAMS,G-F,2634.7596015155564,2629.6420953978472,475.3917502922567,2025.8560337945382,2622.23135501845,3237.2798039001873
TYRESE MAXEY,G,2622.294262823875,2620.118021560446,770.3756840691949,1626.7384359006594,2621.897820035586,3612.7800260455433
FRANZ WAGNER,F,2619.9323874786005,2613.580216183713,406.62153670489425,2096.904574501419,2603.316756639181,3144.9897924551005
LEBRON JAMES,F,2559.951093547457,2558.1311445678643,245.5286727215118,2242.717645583387,2553.9784378024938,2878.041820118761
PAOLO BANCHERO,F,2556.306544550108,2555.734421663841,299.12993138313175,2176.210998620734,2550.5147421620513,2946.8134891848217
SCOTTIE BARNES,F-G,2555.7220258589987,2552.48640180359,385.09508320237825,2054.259311858259,2546.599388056795,3057.9483033290917
DONOVAN MITCHELL,G,2551.0307677453197,2551.1415406517176,235.18410774025017,2249.8284673099124,2548.3881120171627,2854.7733472913615
JAMES HARDEN,G,2524.593004201963,2524.102814134879,345.9052508412105,2086.3801615222555,2519.522910996445,2975.679991077891
DE'AARON FOX,G,2491.9701348258845,2494.3282124982375,220.62073594524526,2211.7291541905965,2488.7703025402698,2778.5843599308564
PASCAL SIAKAM,F,2460.1660196015227,2459.894090377453,275.51113257519995,2110.6141821660863,2454.2436722951506,2818.8406931736185
JAREN JACKSON JR,F-C,2444.5357533872675,2440.915091909672,308.59164187930264,2044.1543609315495,2438.166797066903,2835.908527701071
JAMAL MURRAY,G,2431.6887844981757,2430.96943819565,184.6891455365626,2194.8122243173807,2430.5161667865177,2667.4480806044367
NIKOLA VUCEVIC,C,2381.6040430688904,2380.097648167958,254.9397657932043,2051.144541424488,2377.945598481755,2707.052049810052
DARIUS GARLAND,G,2378.1569748784764,2379.127164465854,264.59027236864335,2043.3593373903743,2375.092743407407,2722.6428296439954
JALEN GREEN,G,2369.8467033063653,2371.935741272752,241.5643363390062,2063.1988734971856,2367.653631756143,2687.801279190478
AUSTIN REAVES,G,2368.0643195584353,2359.4096127940434,638.6812423181301,1527.2934535358074,2356.3699560063833,3177.6526739741844
JOSH GIDDEY,G,2364.702162781901,2362.869554530506,285.28981952546934,2003.1460595428534,2355.644529286821,2733.5336235719374
DAMIAN LILLARD,G,2344.448236153022,2346.152541956709,295.8938972995063,1971.5211603996443,2341.847980182788,2734.592014468063
MILES BRIDGES,F,2335.565519477151,2338.2829047707887,389.1993158002962,1844.787085711498,2333.5815411449707,2842.118236104968
LAMELO BALL,G,2334.275383765449,2333.578830819918,289.48688335173716,1969.5928181410409,2321.9307299852667,2709.1529489761683
KEVIN DURANT,F,2324.043828965564,2325.3203470559006,226.54566170918255,2036.573192016551,2319.268600935816,2618.0993415296284
JOSH HART,G,2322.9652280970313,2316.236786660352,388.23828497897324,1824.1283929376748,2308.2654713351367,2811.712544856383
DEMAR DEROZAN,G-F,2309.6379682187476,2309.80693540543,214.03923304084677,2036.5862911908507,2309.430000259461,2585.5128447247243
DESMOND BANE,G,2294.655609943798,2286.9690906907667,582.0910822200781,1544.4991814770437,2278.8276492050763,3040.780637238179
AMEN THOMPSON,G-F,2242.942270935193,2237.8815020387187,487.83271826154987,1616.8340581665955,2228.581405624547,2867.950310115616
STEPHEN CURRY,G,2242.712158543293,2238.0839274955624,270.05677155872087,1898.996729495411,2228.614921450911,2589.432276039151
RJ BARRETT,F-G,2242.340720933159,2242.9856735187955,217.28037838564228,1963.3166785573171,2241.887892921764,2521.565436834398
DYSON DANIELS,G,2235.2676118857808,2252.836961344032,861.6546743767104,1150.1710992091469,2244.8224917927,3346.8584265753
JAYLEN BROWN,G-F,2234.01471636381,2233.185841572956,189.39183533682677,1990.1124779294819,2230.763718751482,2477.9596681967196
